ID,Material/Polymer Name,Polymer Family,Healing Mechanism,External Stimulus Required,Healing Temp (°C),Healing Temp Notes,Healing Time (hrs),Healing Efficiency (%),Efficiency Measured Property,Tensile Strength (MPa),Elongation at Break (%),Flexibility Category,Application Area,Main Advantages,Main Limitations/Trade-offs,Supporting Evidence,Paper Title,Authors,Year,Journal,DOI/Link,Data Collector,Date Collected,Verification Status,Notes/Uncertainty Flags
P048,Ionomeric carboxylated styrene–butadiene polymer,Elastomer,Ionic Interaction,Heat,100,Explicitly reported,3,68,Tensile Strength,5.2,N/A,Highly Flexible/Elastomeric,Structural/Composite,Moderate strength ionomeric elastomer.,68% efficiency; requires 100°C.,"Table 2, ref. 123: 5.2 MPa; 68%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P049,Cyclodextrin/adamantane supramolecular polymer,Supramolecular Polymer,Host–Guest interaction,Heat,60,Explicitly reported,0.1667,71,Tensile Strength,5.25,N/A,Highly Flexible/Elastomeric,Soft Robotics,Fast 10-min host–guest healing.,Moderate 70–72% recovery.,"Table 2, ref. 125: 2.5–8 MPa; 70–72%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P050,HDI/tetraethylene-glycol thermoplastic polyurethane,Polyurethane,Host–Guest interaction,Heat,80,Explicitly reported,0.1167,87,Tensile Strength,11,N/A,Highly Flexible/Elastomeric,Structural/Composite,11 MPa TPU with 87% recovery in only 7 min.,Requires 80°C.,"Table 2, ref. 126.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P051,Poly(vinyl alcohol)-graft-poly(ε-caprolactone),Other,Disulfide Exchange + Hydrogen Bonding,Heat,90,Explicitly reported,12,94,Tensile Strength,20,N/A,Highly Flexible/Elastomeric,Structural/Composite,High 20 MPa strength and 94% healing.,Requires 90°C for 12 h.,"Table 2, ref. 131.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P052,Epoxy resin/cyclic-olefin copolymer blend,Composite,Polymer-chain diffusion,Heat,190,Explicitly reported,1,89,Tensile Strength,27.5,N/A,Rigid,Structural/Composite,High-strength polymer blend.,Very high 190°C healing temperature.,"Table 3, ref. 165: 20–35 MPa; 89%; 190°C 1 h.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P053,PU elastomer/low-melting polycaprolactone blend,Composite,Shape-memory-assisted healing,Heat,90,Explicitly reported,0.5,100,Tensile Strength,37.2,N/A,Highly Flexible/Elastomeric,Structural/Composite,Excellent 37.2 MPa strength and complete healing.,Requires 90°C.,"Table 3, ref. 167: 37.2 MPa; 100%; 30 min.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P054,Polycaprolactone/polyfurfuryl-methacrylate,Other,Shape-memory-assisted healing,Heat,120,Explicitly reported,0.25,75.1,Tensile Strength,13,N/A,Semi-Flexible,Structural/Composite,Short 15-min healing time.,Requires 120°C; 75.1% recovery.,"Table 3, ref. 168: 13 MPa; 75.1%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P055,GO/thermoset-polyurethane composite,Composite,Shape-memory-assisted healing,Light/UV,25,NIR 2.5 W cm⁻²; starting ambient temperature assumed,0.5,85,Tensile Strength,16.6,N/A,Semi-Flexible,Structural/Composite,Remote NIR-triggered healing and 16.6 MPa strength.,Requires 30 min NIR exposure.,"Table 3, ref. 169: 16.6 MPa; 85%",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P056,Epoxy/PCL copolymer cured with cashew-nut-shell material,Composite,Shape-memory-assisted healing,Heat,80,Explicitly reported,4,93.7,Tensile Strength,12.52,N/A,Rigid,Structural/Composite,93.7% recovery.,Requires 4 h at 80°C.,"Table 3, ref. 171: 12.52 MPa; 93.7%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P057,Boron-nitride/epoxy composite,Composite,Shape-memory-assisted healing,Heat,140,Explicitly reported,2,100,Tensile Strength,55,N/A,Rigid,Structural/Composite,Extremely high 55 MPa strength and nearly complete recovery.,Requires 140°C for 2 h.,"Table 3, ref. 172: 55 MPa; almost 100%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P058,PEG/PCL/UPy supramolecular shape-memory polymer,Supramolecular Polymer,Remote Healing,Multiple Stimuli,70,70°C 10 min + 365 nm light 1 min,0.1833,86,Tensile Strength,7.2,N/A,Highly Flexible/Elastomeric,Soft Robotics,Combines shape memory, supramolecular healing, heat and light responsiveness.,Requires two stimuli.,"Table 3, ref. 173: 7.2 MPa; 86%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P059,PVA/agarose/chitosan/glycerin triple-network hydrogel,Hydrogel,Remote Healing,Autonomous (Room Temp),25,RT standardized to 25°C,0.0167,100,Tensile Strength,10.21,N/A,Highly Flexible/Elastomeric,Sensors,Full recovery in only 1 min at RT with 10.21 MPa strength.,Complex four-component triple-network formulation.,"Table 3, ref. 174: 10.21 MPa; 100%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P060,Polyurethane/CNT nanocomposite — thermal condition,Composite,Remote Healing,Heat,80,Thermal-healing condition,24,91.1,Tensile Strength,3.64,N/A,Semi-Flexible,Structural/Composite,91.1% thermal recovery.,Requires 80°C for 24 h.,"Table 3, ref. 175: 3.64 MPa; 91.1% heat condition.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P061,Polyurethane/CNT nanocomposite — NIR condition,Composite,Remote Healing,Light/UV,25,NIR irradiation; numerical sample temperature not reported,0.0167,84.9,Tensile Strength,3.64,N/A,Semi-Flexible,Structural/Composite,Remote NIR healing in only 1 min.,Slightly lower 84.9% recovery.,"Table 3, ref. 175: 3.64 MPa; 84.9% NIR condition.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P062,BIIR modified with 1-hexylimidazole,Elastomer,Ionic Interaction,Multiple Stimuli,70,Heated while cut surfaces were pressed together with 0.1 mm compression,16,74,Tensile Strength,10.7,1040,Highly Flexible/Elastomeric,Tire/automotive elastomer,Excellent combination of 10.7 MPa strength and 1040% elongation; strong recovery of both properties.,Slow 16 h healing and requires heat/compression.,"Page 16 + Table 1: 74% tensile recovery, 98% elongation recovery; 10.7 MPa; 1040%.",Self-healing elastomers based on conjugated diolefins: a review,Prasanta Kumar Behera; Subhra Mohanty; Virendra Kumar Gupta,2021,Polymer Chemistry,https://doi.org/10.1039/D0PY01458C,RS,2026-08-21,,
P063,Fe³⁺/PDA-ENR elastomer,Elastomer,Metal-Ligand Coordination,Heat,50,Catechol–Fe³⁺ reversible coordination,12,89.3,Tensile Strength,2,N/A,Highly Flexible/Elastomeric,Tire/automotive elastomer,Good 89.3% healing; also remains healable at subzero temperature.,Only 2 MPa tensile strength and requires 12 h at 50°C,"Pages 10–11: 2 MPa, 89.3 ± 3.6% after 50°C/12 h; \~80% after 12 h at −10°C.",Self-healing elastomers based on conjugated diolefins: a review,Prasanta Kumar Behera; Subhra Mohanty; Virendra Kumar Gupta,2021,Polymer Chemistry,https://doi.org/10.1039/D0PY01458C,RS,2026-08-21,,
P064,ENR-Zn/His-CNC blend,Composite,Metal-Ligand Coordination,Autonomous (Room Temp),25,Review reports RT; standardized to 25°C,0.0333,107.17,Tensile Strength,1,N/A,Highly Flexible/Elastomeric,Tire/automotive elastomer,Extremely fast 2 min autonomous healing and >100% first-cycle recovery.,Low tensile strength of 1 MPa; recovery decreases over repeated cycles.,"Page 11 + Table 1: 107.17%, 95.43%, 88.65% for cycles 1–3; 1 MPa; RT/2 min.",Self-healing elastomers based on conjugated diolefins: a review,Prasanta Kumar Behera; Subhra Mohanty; Virendra Kumar Gupta,2021,Polymer Chemistry,https://doi.org/10.1039/D0PY01458C,RS,2026-08-21,,
P065,Zn–triazole/H-bond dual-dynamic polyisoprene,Elastomer,Hydrogen Bonding + Metal-Ligand Coordination,Heat,80,Multiple H-bonds plus Zn–triazole coordination,24,74,Tensile Strength,21,N/A,Highly Flexible/Elastomeric,Tire/automotive elastomer,21 MPa tensile strength; much higher than most self-healing elastomers in this review.,Requires 80°C for 24 h and only 74% recovery.,"Page 12: original 21 MPa, healed 15.5 MPa, \~74% recovery after 80°C/24 h.",Self-healing elastomers based on conjugated diolefins: a review,Prasanta Kumar Behera; Subhra Mohanty; Virendra Kumar Gupta,2021,Polymer Chemistry,https://doi.org/10.1039/D0PY01458C,RS,2026-08-21,,
P066,DA-crosslinked polysiloxane elastomer,Silicone/PDMS,Diels-Alder Reaction,Heat,80,DA crosslinks reform during thermal treatment,12,90,Tensile Strength,0.059,N/A,Highly Flexible/Elastomeric,Other,>90% healing over repeated cycles; reversible DA chemistry also enables reprocessing.,Very low tensile strength of 0.059 MPa.,"Page 20: 0.059 MPa, >90% after 80°C/12 h even after three healing cycles.",Self-healing elastomers based on conjugated diolefins: a review,Prasanta Kumar Behera; Subhra Mohanty; Virendra Kumar Gupta,2021,Polymer Chemistry,https://doi.org/10.1039/D0PY01458C,RS,2026-08-21,,
P067,35 wt% graphene/DA-crosslinked polysiloxane nanocomposite,Composite,Diels-Alder Reaction,Heat,80,Graphene-reinforced DA polysiloxane,12,90,Tensile Strength,1.062,N/A,Highly Flexible/Elastomeric,Other,Graphene increases tensile strength 18-fold without sacrificing healing.,Still relatively low absolute strength; elongation not reported.,"Page 20: 35 wt% graphene produces 18-fold tensile-strength increase while maintaining >90% healing.",Self-healing elastomers based on conjugated diolefins: a review,Prasanta Kumar Behera; Subhra Mohanty; Virendra Kumar Gupta,2021,Polymer Chemistry,https://doi.org/10.1039/D0PY01458C,RS,2026-08-21,,
